(List(Bread, Butter, Cheese, Coffee Powder, Ghee, Lassi, Milk, Panner),31)
(List(Butter, Cheese, Coffee Powder, Ghee, Lassi, Milk, Panner, Yougurt),31)
(List(Butter, Cheese, Coffee Powder, Ghee, Lassi, Sugar, Sweet),31)
(List(Bread, Cheese, Coffee Powder, Ghee, Panner, Sweet),124)
(List(Cheese, Ghee, Lassi, Panner, Sweet, Tea Powder),124)
(List(Coffee Powder, Lassi, Milk, Sugar, Tea Powder, Yougurt),124)
(List(Bread, Cheese, Coffee Powder, Lassi, Milk, Sugar),124)
(List(Coffee Powder, Ghee, Lassi, Milk, Sweet, Tea Powder),124)
(List(Bread, Milk, Sugar, Sweet, Tea Powder, Yougurt),124)
(List(Bread, Butter, Ghee, Panner, Sugar, Yougurt),124)
(List(Coffee Powder, Ghee, Lassi, Milk, Tea Powder, Yougurt),124)
(List(Cheese, Coffee Powder, Milk, Sugar, Tea Powder, Yougurt),124)
(List(Bread, Butter, Ghee, Lassi, Sugar, Yougurt),124)
(List(Bread, Butter, Cheese, Ghee, Lassi, Milk),124)
(List(Bread, Coffee Powder, Lassi, Milk, Sweet, Yougurt),124)
(List(Ghee, Lassi, Milk, Panner, Sugar, Sweet),124)
(List(Butter, Coffee Powder, Milk, Panner, Sweet, Yougurt),124)
(List(Ghee, Lassi, Panner, Sugar, Sweet, Tea Powder),124)
(List(Bread, Cheese, Coffee Powder, Ghee, Tea Powder, Yougurt),124)
(List(Cheese, Coffee Powder, Ghee, Lassi, Sugar, Yougurt),124)
(List(Butter, Coffee Powder, Ghee, Milk, Sugar, Tea Powder),125)
(List(Bread, Coffee Powder, Lassi, Sugar, Sweet, Tea Powder),125)
(List(Bread, Ghee, Lassi, Sugar, Sweet, Tea Powder),125)
(List(Butter, Cheese, Lassi, Sugar, Sweet, Yougurt),125)
(List(Bread, Cheese, Ghee, Lassi, Milk, Panner),125)
(List(Bread, Butter, Coffee Powder, Panner, Sugar, Yougurt),125)
(List(Butter, Ghee, Lassi, Milk, Panner, Yougurt),125)
(List(Bread, Cheese, Lassi, Milk, Panner, Sugar),125)
(List(Butter, Coffee Powder, Ghee, Lassi, Sugar, Tea Powder),125)
(List(Cheese, Milk, Sugar, Sweet, Tea Powder, Yougurt),125)
(List(Butter, Coffee Powder, Ghee, Milk, Tea Powder, Yougurt),125)
(List(Butter, Milk, Panner, Sugar, Sweet, Yougurt),125)
(List(Butter, Coffee Powder, Lassi, Milk, Panner, Sweet),125)
(List(Butter, Coffee Powder, Ghee, Milk, Sweet, Yougurt),125)
(List(Butter, Cheese, Coffee Powder, Lassi, Milk, Yougurt),125)
(List(Bread, Butter, Coffee Powder, Lassi, Milk, Sweet),125)
(List(Bread, Butter, Lassi, Milk, Panner, Sweet),125)
(List(Cheese, Coffee Powder, Ghee, Milk, Tea Powder, Yougurt),125)
(List(Butter, Cheese, Coffee Powder, Milk, Panner, Yougurt),125)
(List(Butter, Cheese, Coffee Powder, Milk, Panner, Sugar),125)
(List(Bread, Coffee Powder, Ghee, Panner, Sugar, Yougurt),125)
(List(Bread, Cheese, Ghee, Milk, Panner, Yougurt),125)
(List(Bread, Coffee Powder, Ghee, Milk, Sugar, Yougurt),125)
(List(Butter, Cheese, Coffee Powder, Milk, Sugar, Sweet),125)
(List(Butter, Coffee Powder, Ghee, Milk, Sugar, Sweet),125)
(List(Butter, Coffee Powder, Ghee, Lassi, Milk, Panner),125)
(List(Butter, Cheese, Coffee Powder, Ghee, Lassi, Yougurt),125)
(List(Butter, Cheese, Ghee, Lassi, Milk, Sugar),125)
(List(Bread, Butter, Coffee Powder, Milk, Sweet, Yougurt),125)
(List(Bread, Cheese, Lassi, Milk, Panner, Sweet),126)
(List(Butter, Coffee Powder, Ghee, Lassi, Sweet, Yougurt),126)
(List(Bread, Milk, Panner, Sugar, Sweet, Yougurt),126)
(List(Bread, Butter, Coffee Powder, Milk, Tea Powder, Yougurt),126)
(List(Coffee Powder, Lassi, Milk, Sugar, Sweet, Yougurt),126)
(List(Bread, Coffee Powder, Milk, Panner, Tea Powder, Yougurt),126)
(List(Bread, Coffee Powder, Lassi, Panner, Sugar, Yougurt),126)
(List(Bread, Cheese, Ghee, Lassi, Panner, Yougurt),126)
(List(Butter, Coffee Powder, Ghee, Lassi, Sugar, Sweet),126)
(List(Bread, Butter, Coffee Powder, Lassi, Milk, Panner),126)
(List(Butter, Coffee Powder, Ghee, Lassi, Panner, Tea Powder),126)
(List(Butter, Cheese, Coffee Powder, Lassi, Panner, Sugar),126)
(List(Butter, Coffee Powder, Panner, Sugar, Tea Powder, Yougurt),126)
(List(Bread, Cheese, Ghee, Lassi, Milk, Yougurt),126)
(List(Cheese, Coffee Powder, Lassi, Panner, Sweet, Tea Powder),126)
(List(Butter, Cheese, Lassi, Milk, Sugar, Sweet),126)
(List(Bread, Cheese, Coffee Powder, Ghee, Lassi, Sugar),126)
(List(Ghee, Lassi, Milk, Sugar, Sweet, Tea Powder),126)
(List(Bread, Coffee Powder, Ghee, Lassi, Sugar, Sweet),126)
(List(Cheese, Ghee, Milk, Panner, Sweet, Yougurt),126)
(List(Bread, Butter, Ghee, Lassi, Panner, Tea Powder),126)
(List(Butter, Cheese, Coffee Powder, Ghee, Lassi, Milk),126)
(List(Bread, Cheese, Coffee Powder, Ghee, Panner, Sugar),126)
(List(Coffee Powder, Lassi, Panner, Sugar, Tea Powder, Yougurt),126)
(List(Coffee Powder, Ghee, Lassi, Panner, Tea Powder, Yougurt),126)
(List(Butter, Cheese, Lassi, Panner, Sweet, Tea Powder),126)
(List(Coffee Powder, Ghee, Milk, Sugar, Tea Powder, Yougurt),126)
(List(Bread, Butter, Coffee Powder, Ghee, Panner, Sugar),126)
(List(Bread, Cheese, Coffee Powder, Ghee, Sugar, Yougurt),126)
(List(Bread, Coffee Powder, Milk, Sweet, Tea Powder, Yougurt),126)
(List(Bread, Cheese, Coffee Powder, Ghee, Lassi, Sweet),127)
(List(Butter, Cheese, Lassi, Milk, Panner, Sweet),127)
(List(Bread, Coffee Powder, Ghee, Milk, Panner, Sugar),127)
(List(Butter, Cheese, Ghee, Panner, Sweet, Yougurt),127)
(List(Butter, Cheese, Coffee Powder, Ghee, Lassi, Panner),127)
(List(Bread, Cheese, Lassi, Panner, Sweet, Tea Powder),127)
(List(Butter, Coffee Powder, Ghee, Lassi, Panner, Sugar),127)
(List(Cheese, Coffee Powder, Lassi, Milk, Sugar, Yougurt),127)
(List(Bread, Butter, Panner, Sugar, Sweet, Yougurt),127)
(List(Butter, Coffee Powder, Ghee, Panner, Sweet, Yougurt),127)
(List(Cheese, Coffee Powder, Lassi, Panner, Sugar, Yougurt),127)
(List(Bread, Cheese, Lassi, Milk, Sugar, Yougurt),127)
(List(Bread, Butter, Cheese, Coffee Powder, Milk, Yougurt),127)
(List(Bread, Butter, Coffee Powder, Panner, Sweet, Yougurt),127)
(List(Butter, Cheese, Ghee, Milk, Panner, Yougurt),127)
(List(Bread, Coffee Powder, Ghee, Panner, Sugar, Sweet),127)
(List(Butter, Coffee Powder, Ghee, Panner, Sugar, Tea Powder),127)
(List(Butter, Coffee Powder, Milk, Sweet, Tea Powder, Yougurt),127)
(List(Bread, Butter, Coffee Powder, Ghee, Sugar, Tea Powder),127)
(List(Bread, Butter, Coffee Powder, Lassi, Sugar, Sweet),127)
(List(Butter, Ghee, Lassi, Milk, Panner, Sweet),127)
(List(Bread, Coffee Powder, Ghee, Milk, Tea Powder, Yougurt),127)
(List(Bread, Coffee Powder, Ghee, Lassi, Milk, Tea Powder),127)
(List(Butter, Ghee, Lassi, Milk, Panner, Tea Powder),127)
(List(Coffee Powder, Ghee, Lassi, Panner, Sugar, Tea Powder),127)
(List(Bread, Butter, Coffee Powder, Milk, Sugar, Tea Powder),128)
(List(Bread, Coffee Powder, Lassi, Milk, Panner, Yougurt),128)
(List(Bread, Butter, Cheese, Lassi, Panner, Sugar),128)
(List(Ghee, Lassi, Milk, Sugar, Tea Powder, Yougurt),128)
(List(Bread, Coffee Powder, Panner, Sugar, Sweet, Yougurt),128)
(List(Coffee Powder, Ghee, Lassi, Milk, Sweet, Yougurt),128)
(List(Cheese, Coffee Powder, Lassi, Milk, Panner, Sugar),128)
(List(Bread, Cheese, Coffee Powder, Milk, Panner, Yougurt),128)
(List(Butter, Lassi, Milk, Panner, Sweet, Tea Powder),128)
(List(Bread, Coffee Powder, Ghee, Milk, Sugar, Tea Powder),128)
(List(Butter, Cheese, Coffee Powder, Ghee, Tea Powder, Yougurt),128)
(List(Bread, Ghee, Lassi, Milk, Sugar, Tea Powder),128)
(List(Butter, Coffee Powder, Ghee, Sugar, Sweet, Yougurt),128)
(List(Bread, Cheese, Ghee, Panner, Sugar, Yougurt),128)
(List(Butter, Cheese, Coffee Powder, Ghee, Panner, Yougurt),128)
(List(Bread, Ghee, Lassi, Milk, Panner, Tea Powder),128)
(List(Butter, Lassi, Milk, Panner, Sweet, Yougurt),128)
(List(Butter, Coffee Powder, Ghee, Sugar, Tea Powder, Yougurt),128)
(List(Bread, Butter, Lassi, Sugar, Sweet, Yougurt),128)
(List(Bread, Coffee Powder, Milk, Sugar, Sweet, Tea Powder),128)
(List(Bread, Butter, Coffee Powder, Lassi, Milk, Yougurt),128)
(List(Butter, Ghee, Lassi, Panner, Sweet, Yougurt),128)
(List(Bread, Butter, Lassi, Milk, Panner, Sugar),128)
(List(Bread, Coffee Powder, Ghee, Panner, Sweet, Yougurt),128)
(List(Bread, Cheese, Ghee, Lassi, Milk, Sugar),129)
(List(Cheese, Lassi, Panner, Sugar, Sweet, Yougurt),129)
(List(Cheese, Ghee, Lassi, Milk, Panner, Sweet),129)
(List(Bread, Coffee Powder, Milk, Panner, Sweet, Yougurt),129)
(List(Bread, Butter, Ghee, Panner, Tea Powder, Yougurt),129)
(List(Bread, Ghee, Lassi, Milk, Sugar, Sweet),129)
(List(Bread, Coffee Powder, Ghee, Lassi, Milk, Sweet),129)
(List(Bread, Ghee, Lassi, Panner, Sugar, Yougurt),129)
(List(Butter, Ghee, Lassi, Panner, Sugar, Sweet),129)
(List(Bread, Cheese, Milk, Panner, Sugar, Yougurt),129)
(List(Bread, Cheese, Coffee Powder, Panner, Sweet, Yougurt),129)
(List(Bread, Butter, Cheese, Coffee Powder, Lassi, Milk),129)
(List(Bread, Ghee, Lassi, Milk, Sugar, Yougurt),129)
(List(Cheese, Milk, Panner, Sugar, Sweet, Yougurt),129)
(List(Butter, Coffee Powder, Lassi, Milk, Panner, Yougurt),130)
(List(Coffee Powder, Ghee, Lassi, Panner, Sugar, Yougurt),130)
(List(Bread, Cheese, Lassi, Panner, Sugar, Sweet),130)
(List(Butter, Cheese, Coffee Powder, Panner, Sweet, Yougurt),130)
(List(Bread, Butter, Coffee Powder, Ghee, Sugar, Yougurt),130)
(List(Lassi, Milk, Panner, Sugar, Sweet, Yougurt),130)
(List(Bread, Butter, Ghee, Lassi, Milk, Sweet),130)
(List(Butter, Cheese, Coffee Powder, Lassi, Milk, Sugar),130)
(List(Butter, Ghee, Lassi, Milk, Sugar, Sweet),130)
(List(Butter, Ghee, Lassi, Sugar, Sweet, Yougurt),130)
(List(Butter, Coffee Powder, Milk, Panner, Sugar, Yougurt),130)
(List(Butter, Ghee, Lassi, Panner, Sweet, Tea Powder),130)
(List(Bread, Butter, Coffee Powder, Sugar, Sweet, Yougurt),130)
(List(Bread, Lassi, Panner, Sugar, Sweet, Yougurt),130)
(List(Butter, Coffee Powder, Lassi, Panner, Sugar, Sweet),130)
(List(Butter, Coffee Powder, Lassi, Panner, Sweet, Yougurt),130)
(List(Ghee, Lassi, Milk, Panner, Sugar, Yougurt),131)
(List(Butter, Ghee, Lassi, Panner, Tea Powder, Yougurt),131)
(List(Bread, Coffee Powder, Ghee, Panner, Sugar, Tea Powder),131)
(List(Bread, Butter, Coffee Powder, Ghee, Lassi, Panner),131)
(List(Butter, Ghee, Lassi, Milk, Sugar, Yougurt),131)
(List(Bread, Coffee Powder, Milk, Panner, Sugar, Tea Powder),131)
(List(Cheese, Lassi, Panner, Sweet, Tea Powder, Yougurt),131)
(List(Bread, Coffee Powder, Ghee, Lassi, Panner, Yougurt),131)
(List(Coffee Powder, Milk, Sugar, Sweet, Tea Powder, Yougurt),131)
(List(Butter, Cheese, Coffee Powder, Lassi, Milk, Panner),131)
(List(Coffee Powder, Ghee, Lassi, Milk, Panner, Sweet),131)
(List(Cheese, Coffee Powder, Ghee, Panner, Sweet, Yougurt),131)
(List(Bread, Butter, Cheese, Coffee Powder, Lassi, Panner),131)
(List(Bread, Cheese, Ghee, Milk, Sugar, Yougurt),131)
(List(Bread, Lassi, Panner, Sugar, Sweet, Tea Powder),131)
(List(Butter, Coffee Powder, Ghee, Milk, Panner, Yougurt),131)
(List(Bread, Cheese, Coffee Powder, Ghee, Milk, Panner),131)
(List(Butter, Ghee, Lassi, Milk, Panner, Sugar),131)
(List(Coffee Powder, Ghee, Lassi, Milk, Panner, Sugar),132)
(List(Bread, Coffee Powder, Milk, Panner, Sugar, Yougurt),132)
(List(Bread, Coffee Powder, Ghee, Sugar, Tea Powder, Yougurt),132)
(List(Butter, Coffee Powder, Milk, Sugar, Tea Powder, Yougurt),132)
(List(Butter, Coffee Powder, Ghee, Lassi, Sugar, Yougurt),132)
(List(Bread, Coffee Powder, Ghee, Lassi, Milk, Yougurt),132)
(List(Bread, Cheese, Coffee Powder, Lassi, Milk, Yougurt),132)
(List(Bread, Coffee Powder, Panner, Sugar, Tea Powder, Yougurt),132)
(List(Bread, Cheese, Coffee Powder, Ghee, Panner, Yougurt),132)
(List(Bread, Coffee Powder, Lassi, Panner, Sugar, Tea Powder),132)
(List(Bread, Butter, Coffee Powder, Ghee, Lassi, Sugar),132)
(List(Bread, Cheese, Coffee Powder, Lassi, Milk, Panner),132)
(List(Bread, Cheese, Coffee Powder, Ghee, Milk, Yougurt),132)
(List(Butter, Coffee Powder, Ghee, Lassi, Milk, Sugar),132)
(List(Bread, Coffee Powder, Ghee, Lassi, Panner, Tea Powder),132)
(List(Butter, Cheese, Coffee Powder, Ghee, Milk, Yougurt),132)
(List(Bread, Cheese, Lassi, Panner, Sugar, Yougurt),132)
(List(Coffee Powder, Lassi, Milk, Panner, Sugar, Tea Powder),132)
(List(Butter, Coffee Powder, Panner, Sugar, Sweet, Yougurt),132)
(List(Bread, Ghee, Milk, Panner, Sugar, Yougurt),132)
(List(Bread, Butter, Coffee Powder, Sugar, Sweet, Tea Powder),132)
(List(Bread, Cheese, Coffee Powder, Lassi, Panner, Yougurt),133)
(List(Bread, Coffee Powder, Ghee, Lassi, Sweet, Tea Powder),133)
(List(Butter, Lassi, Milk, Panner, Sugar, Yougurt),133)
(List(Bread, Cheese, Coffee Powder, Lassi, Panner, Sweet),133)
(List(Coffee Powder, Ghee, Lassi, Panner, Sweet, Tea Powder),133)
(List(Bread, Butter, Coffee Powder, Milk, Sugar, Sweet),133)
(List(Cheese, Coffee Powder, Lassi, Panner, Sweet, Yougurt),133)
(List(Bread, Cheese, Ghee, Lassi, Sugar, Yougurt),133)
(List(Butter, Lassi, Panner, Sugar, Sweet, Tea Powder),133)
(List(Butter, Lassi, Milk, Sugar, Sweet, Yougurt),133)
(List(Bread, Butter, Coffee Powder, Milk, Sugar, Yougurt),133)
(List(Cheese, Coffee Powder, Lassi, Milk, Panner, Yougurt),133)
(List(Bread, Butter, Coffee Powder, Ghee, Tea Powder, Yougurt),133)
(List(Coffee Powder, Milk, Panner, Sugar, Sweet, Tea Powder),133)
(List(Bread, Butter, Coffee Powder, Lassi, Milk, Sugar),134)
(List(Coffee Powder, Ghee, Lassi, Milk, Sugar, Yougurt),134)
(List(Bread, Butter, Ghee, Lassi, Panner, Sugar),134)
(List(Bread, Butter, Lassi, Milk, Sugar, Sweet),134)
(List(Ghee, Lassi, Milk, Panner, Sugar, Tea Powder),134)
(List(Bread, Cheese, Coffee Powder, Ghee, Lassi, Milk),134)
(List(Cheese, Coffee Powder, Ghee, Lassi, Milk, Panner),134)
(List(Coffee Powder, Lassi, Milk, Panner, Sweet, Tea Powder),134)
(List(Butter, Cheese, Coffee Powder, Milk, Sugar, Yougurt),134)
(List(Coffee Powder, Ghee, Lassi, Milk, Sugar, Tea Powder),134)
(List(Bread, Ghee, Lassi, Panner, Sugar, Tea Powder),134)
(List(Coffee Powder, Lassi, Panner, Sweet, Tea Powder, Yougurt),134)
(List(Cheese, Coffee Powder, Ghee, Lassi, Milk, Yougurt),134)
(List(Bread, Cheese, Lassi, Milk, Panner, Yougurt),134)
(List(Butter, Coffee Powder, Ghee, Milk, Sugar, Yougurt),134)
(List(Butter, Ghee, Lassi, Milk, Sweet, Tea Powder),134)
(List(Bread, Butter, Cheese, Coffee Powder, Milk, Sugar),135)
(List(Cheese, Coffee Powder, Ghee, Milk, Sugar, Yougurt),135)
(List(Bread, Butter, Ghee, Lassi, Milk, Sugar),135)
(List(Cheese, Coffee Powder, Milk, Panner, Sugar, Yougurt),135)
(List(Cheese, Ghee, Lassi, Panner, Sugar, Yougurt),135)
(List(Bread, Coffee Powder, Milk, Sugar, Tea Powder, Yougurt),135)
(List(Bread, Cheese, Milk, Panner, Sweet, Yougurt),135)
(List(Bread, Coffee Powder, Lassi, Milk, Panner, Sweet),136)
(List(Butter, Coffee Powder, Sugar, Sweet, Tea Powder, Yougurt),136)
(List(Cheese, Coffee Powder, Ghee, Milk, Panner, Yougurt),136)
(List(Coffee Powder, Ghee, Lassi, Milk, Panner, Yougurt),136)
(List(Bread, Cheese, Ghee, Lassi, Panner, Sugar),136)
(List(Bread, Cheese, Coffee Powder, Ghee, Lassi, Yougurt),136)
(List(Butter, Cheese, Lassi, Panner, Sweet, Yougurt),136)
(List(Coffee Powder, Ghee, Lassi, Panner, Sweet, Yougurt),136)
(List(Bread, Ghee, Lassi, Milk, Sweet, Tea Powder),136)
(List(Bread, Coffee Powder, Ghee, Lassi, Sugar, Tea Powder),136)
(List(Bread, Cheese, Coffee Powder, Lassi, Panner, Sugar),136)
(List(Bread, Coffee Powder, Lassi, Panner, Sugar, Sweet),137)
(List(Butter, Coffee Powder, Lassi, Sugar, Sweet, Yougurt),137)
(List(Butter, Coffee Powder, Lassi, Milk, Sweet, Yougurt),137)
(List(Butter, Coffee Powder, Ghee, Lassi, Milk, Yougurt),137)
(List(Bread, Butter, Coffee Powder, Lassi, Panner, Sugar),137)
(List(Cheese, Ghee, Lassi, Panner, Sweet, Yougurt),137)
(List(Bread, Coffee Powder, Ghee, Lassi, Milk, Sugar),137)
(List(Butter, Coffee Powder, Lassi, Sugar, Sweet, Tea Powder),137)
(List(Bread, Cheese, Lassi, Panner, Sweet, Yougurt),137)
(List(Butter, Ghee, Lassi, Panner, Sugar, Yougurt),137)
(List(Butter, Ghee, Milk, Panner, Sugar, Yougurt),137)
(List(Butter, Lassi, Milk, Sugar, Sweet, Tea Powder),137)
(List(Ghee, Lassi, Milk, Panner, Sweet, Tea Powder),137)
(List(Cheese, Coffee Powder, Ghee, Lassi, Panner, Yougurt),137)
(List(Coffee Powder, Lassi, Milk, Sugar, Sweet, Tea Powder),137)
(List(Coffee Powder, Lassi, Milk, Panner, Sugar, Sweet),138)
(List(Butter, Coffee Powder, Lassi, Milk, Panner, Sugar),138)
(List(Butter, Coffee Powder, Ghee, Panner, Tea Powder, Yougurt),138)
(List(Butter, Cheese, Lassi, Panner, Sugar, Sweet),138)
(List(Bread, Cheese, Coffee Powder, Milk, Sugar, Yougurt),138)
(List(Butter, Ghee, Lassi, Milk, Sugar, Tea Powder),138)
(List(Bread, Butter, Coffee Powder, Sugar, Tea Powder, Yougurt),138)
(List(Bread, Lassi, Milk, Panner, Sugar, Sweet),138)
(List(Bread, Lassi, Milk, Panner, Sweet, Tea Powder),139)
(List(Bread, Ghee, Lassi, Milk, Panner, Sweet),139)
(List(Bread, Coffee Powder, Lassi, Milk, Panner, Sugar),139)
(List(Coffee Powder, Lassi, Milk, Panner, Sugar, Yougurt),139)
(List(Butter, Coffee Powder, Lassi, Milk, Sugar, Tea Powder),139)
(List(Butter, Coffee Powder, Lassi, Milk, Sugar, Yougurt),139)
(List(Bread, Ghee, Lassi, Panner, Sweet, Tea Powder),139)
(List(Bread, Butter, Lassi, Panner, Sugar, Sweet),139)
(List(Butter, Lassi, Panner, Sugar, Sweet, Yougurt),139)
(List(Butter, Coffee Powder, Lassi, Milk, Sugar, Sweet),140)
(List(Bread, Ghee, Lassi, Milk, Panner, Sugar),140)
(List(Bread, Cheese, Coffee Powder, Milk, Panner, Sugar),140)
(List(Coffee Powder, Lassi, Panner, Sugar, Sweet, Yougurt),140)
(List(Bread, Coffee Powder, Ghee, Lassi, Milk, Panner),140)
(List(Cheese, Lassi, Milk, Panner, Sweet, Yougurt),140)
(List(Bread, Coffee Powder, Lassi, Panner, Sweet, Yougurt),140)
(List(Butter, Coffee Powder, Milk, Sugar, Sweet, Yougurt),140)
(List(Butter, Coffee Powder, Lassi, Panner, Sugar, Yougurt),140)
(List(Butter, Coffee Powder, Ghee, Panner, Sugar, Yougurt),140)
(List(Bread, Coffee Powder, Ghee, Lassi, Panner, Sweet),140)
(List(Bread, Ghee, Lassi, Panner, Sugar, Sweet),141)
(List(Butter, Coffee Powder, Ghee, Lassi, Panner, Yougurt),142)
(List(Coffee Powder, Lassi, Milk, Panner, Sweet, Yougurt),142)
(List(Lassi, Milk, Panner, Sugar, Sweet, Tea Powder),142)
(List(Bread, Coffee Powder, Lassi, Panner, Sweet, Tea Powder),143)
(List(Bread, Cheese, Coffee Powder, Ghee, Lassi, Panner),143)
(List(Butter, Lassi, Milk, Panner, Sugar, Sweet),146)
(List(Bread, Coffee Powder, Ghee, Lassi, Panner, Sugar),146)
(List(Coffee Powder, Lassi, Panner, Sugar, Sweet, Tea Powder),147)
(List(Butter, Coffee Powder, Milk, Sugar, Sweet, Tea Powder),148)
(List(Butter, Cheese, Coffee Powder, Ghee, Sweet),214)
(List(Cheese, Coffee Powder, Milk, Panner, Tea Powder),217)
(List(Butter, Cheese, Ghee, Sweet, Tea Powder),219)
(List(Bread, Butter, Cheese, Lassi, Tea Powder),219)
(List(Butter, Coffee Powder, Milk, Panner, Tea Powder),220)
(List(Butter, Cheese, Milk, Panner, Tea Powder),220)
(List(Cheese, Coffee Powder, Ghee, Sweet, Tea Powder),220)
(List(Bread, Butter, Cheese, Ghee, Sweet),220)
(List(Bread, Ghee, Sweet, Tea Powder, Yougurt),222)
(List(Butter, Cheese, Ghee, Sugar, Sweet),222)
(List(Ghee, Panner, Sweet, Tea Powder, Yougurt),223)
(List(Butter, Cheese, Lassi, Tea Powder, Yougurt),224)
(List(Cheese, Coffee Powder, Ghee, Sugar, Sweet),225)
(List(Butter, Cheese, Lassi, Milk, Tea Powder),225)
(List(Cheese, Lassi, Milk, Tea Powder, Yougurt),227)
(List(Cheese, Coffee Powder, Ghee, Sugar, Tea Powder),228)
(List(Cheese, Ghee, Milk, Sweet, Tea Powder),229)
(List(Bread, Butter, Cheese, Sweet, Tea Powder),230)
(List(Cheese, Ghee, Milk, Panner, Tea Powder),230)
(List(Cheese, Ghee, Sugar, Sweet, Tea Powder),230)
(List(Cheese, Ghee, Panner, Sweet, Tea Powder),231)
(List(Butter, Cheese, Lassi, Sugar, Tea Powder),231)
(List(Butter, Cheese, Ghee, Lassi, Tea Powder),231)
(List(Butter, Cheese, Ghee, Milk, Sweet),231)
(List(Cheese, Lassi, Milk, Panner, Tea Powder),231)
(List(Bread, Cheese, Lassi, Milk, Tea Powder),231)
(List(Cheese, Ghee, Sweet, Tea Powder, Yougurt),231)
(List(Cheese, Coffee Powder, Lassi, Milk, Tea Powder),231)
(List(Bread, Butter, Ghee, Sweet, Yougurt),231)
(List(Bread, Butter, Cheese, Milk, Tea Powder),231)
(List(Bread, Cheese, Ghee, Sweet, Tea Powder),232)
(List(Butter, Cheese, Coffee Powder, Panner, Tea Powder),232)
(List(Butter, Cheese, Lassi, Panner, Tea Powder),232)
(List(Butter, Ghee, Sweet, Tea Powder, Yougurt),232)
(List(Bread, Butter, Cheese, Coffee Powder, Sweet),233)
(List(Butter, Milk, Panner, Sugar, Tea Powder),233)
(List(Butter, Cheese, Milk, Tea Powder, Yougurt),233)
(List(Bread, Cheese, Coffee Powder, Sweet, Tea Powder),233)
(List(Cheese, Ghee, Lassi, Tea Powder, Yougurt),233)
(List(Coffee Powder, Ghee, Sweet, Tea Powder, Yougurt),234)
(List(Butter, Cheese, Coffee Powder, Ghee, Sugar),234)
(List(Butter, Cheese, Milk, Sweet, Tea Powder),234)
(List(Cheese, Coffee Powder, Ghee, Panner, Tea Powder),235)
(List(Butter, Cheese, Coffee Powder, Lassi, Tea Powder),235)
(List(Bread, Cheese, Lassi, Sugar, Tea Powder),235)
(List(Ghee, Sugar, Sweet, Tea Powder, Yougurt),235)
(List(Milk, Panner, Sweet, Tea Powder, Yougurt),236)
(List(Bread, Butter, Cheese, Coffee Powder, Tea Powder),236)
(List(Bread, Cheese, Sugar, Sweet, Tea Powder),236)
(List(Butter, Cheese, Coffee Powder, Milk, Tea Powder),236)
(List(Cheese, Coffee Powder, Milk, Sweet, Tea Powder),236)
(List(Cheese, Milk, Panner, Sweet, Tea Powder),236)
(List(Bread, Cheese, Coffee Powder, Milk, Tea Powder),237)
(List(Butter, Cheese, Coffee Powder, Sugar, Tea Powder),237)
(List(Cheese, Ghee, Lassi, Milk, Tea Powder),237)
(List(Ghee, Milk, Sweet, Tea Powder, Yougurt),237)
(List(Bread, Cheese, Milk, Sweet, Tea Powder),238)
(List(Bread, Butter, Lassi, Tea Powder, Yougurt),238)
(List(Bread, Butter, Panner, Sugar, Tea Powder),238)
(List(Butter, Cheese, Ghee, Sugar, Tea Powder),238)
(List(Coffee Powder, Ghee, Milk, Panner, Tea Powder),238)
(List(Cheese, Coffee Powder, Ghee, Milk, Tea Powder),238)
(List(Butter, Cheese, Ghee, Lassi, Sweet),238)
(List(Bread, Butter, Coffee Powder, Panner, Tea Powder),239)
(List(Bread, Butter, Ghee, Sweet, Tea Powder),239)
(List(Bread, Cheese, Ghee, Milk, Tea Powder),239)
(List(Cheese, Ghee, Panner, Sugar, Sweet),239)
(List(Cheese, Ghee, Panner, Sugar, Tea Powder),239)
(List(Cheese, Coffee Powder, Ghee, Lassi, Tea Powder),239)
(List(Bread, Cheese, Ghee, Panner, Tea Powder),240)
(List(Bread, Butter, Milk, Panner, Tea Powder),240)
(List(Bread, Butter, Lassi, Panner, Yougurt),240)
(List(Butter, Cheese, Ghee, Panner, Tea Powder),241)
(List(Cheese, Ghee, Lassi, Sugar, Tea Powder),241)
(List(Bread, Butter, Cheese, Lassi, Sweet),241)
(List(Bread, Butter, Coffee Powder, Ghee, Sweet),241)
(List(Bread, Coffee Powder, Lassi, Sugar, Yougurt),241)
(List(Ghee, Panner, Sugar, Sweet, Tea Powder),241)
(List(Cheese, Ghee, Milk, Sugar, Sweet),241)
(List(Bread, Cheese, Ghee, Lassi, Tea Powder),241)
(List(Cheese, Ghee, Lassi, Sweet, Tea Powder),242)
(List(Cheese, Milk, Sweet, Tea Powder, Yougurt),242)
(List(Cheese, Ghee, Panner, Tea Powder, Yougurt),242)
(List(Bread, Butter, Cheese, Ghee, Lassi),242)
(List(Bread, Butter, Cheese, Lassi, Yougurt),242)
(List(Bread, Cheese, Coffee Powder, Lassi, Tea Powder),242)
(List(Ghee, Lassi, Sweet, Tea Powder, Yougurt),242)
(List(Butter, Coffee Powder, Ghee, Sweet, Tea Powder),242)
(List(Bread, Lassi, Sugar, Tea Powder, Yougurt),242)
(List(Bread, Butter, Lassi, Sugar, Tea Powder),243)
(List(Coffee Powder, Ghee, Panner, Sugar, Sweet),243)
